NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Chlorure ferrique 10% (0,669N)|Ferric chloride 10% (0,669N)|2014-11-14||UN2582|DP.16.1, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorure ferrique 2% (0,125N)|Ferric chloride 2% (0,125N)|2014-11-14||UN2582|DP.16.1, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorure ferrique hexahydraté|Ferric chloride hexahydrate|2015-04-16|10025-77-1||DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure mercurique|Mercuric chloride|2015-10-09|7487-94-7|UN1624|DS.1o.2, DS.2.2, DS.3.1, DS.4c.1, DS.5.1B, DS.7.2, DS.9.1|Réglementation|||
Chlorure stanneux|Stannous chloride|2019-03-04|7772-99-8||DS.1o.4|Réglementation||Il n’y a aucune donnée disponible pour le tétrachlorure d'étain concernant son pouvoir d’irritation ou de corrosion. Cependant, il peut former au contact de l'eau une substance corrosive: l'acide chlorhydrique.|
Chlorure stannique pentahydraté|Stannic chloride pentahydrate|2019-03-04|10026-06-9|UN2440|DS.1i.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Il n’y a aucune donnée disponible pour le tétrachlorure d'étain pentahydraté concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: l'acide chlorhydrique.|
Chromate (1-), bis(((chloro-5 hydroxy-2 phényl)azo)-1 naphthalénolato-2 (2-)), hydrogène|Chromate (1-), bis(1-((5-chloro-2-hydroxyphenyl)azo)-2-naphthalenolato(2-))-, hydrogen|2014-11-14|31714-55-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chromate d'ammonium|Ammonium chromate|2018-03-13|7788-98-9||DS.1i.3, DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de baryum|Barium chromate|2015-12-22|10294-40-3||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l’ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de calcium|Calcium chromate|2018-03-13|13765-19-0||DS.1o.4, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de césium|Cesium chromate|2018-03-14|13454-78-9||DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de plomb|Lead chromate|2015-12-22|7758-97-6||DS.4c.1A, DS.4r.1, DS.6.1A, DS.7.1A, DS.9.1|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI). La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb.|
Chromate de plomb basique|Lead chromate oxide|2016-01-19|18454-12-1||DS.4c.1A, DS.4r.1, DS.6.1A, DS.7.1A, DS.9.1|Réglementation||La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb. Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de potassium|Potassium chromate|2018-03-14|7789-00-6||DS.1o.3, DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B, DP.14.99|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de potassium et de zinc|Potassium zinc chromate|2015-12-22|11103-86-9||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l’ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de rubidium|Rubidium chromate|2015-12-22|13446-72-5||DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de sodium|Sodium chromate|2018-03-14|7775-11-3||DS.1c.4, DS.1i.2, DS.1o.2, DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B, DP.14.99|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Chromate de strontium|Strontium chromate|2015-12-22|7789-06-2||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de tert-butyle|tert-Butyl chromate|2015-12-22|1189-85-1||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l’ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de zinc|Zinc chromate|2015-12-22|13530-65-9||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de zinc|Zinc chromate|2015-12-22|1308-13-0||DS.4c.1A, DS.4r.1, DS.6.1A|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI).|
Chromate de zinc basique|Basic zinc chromate|2014-11-14|50922-29-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.6.1A, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chromate mercurique|Mercuric chromate|2015-12-22|13444-75-2||DS.4c.1A, DS.4r.1, DS.6.1A, DS.9.1|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydro-insolubles du chrome hexavalent (Cr VI). En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie aux composés de mercures inorganiques (Dichlorure de mercure II).|
Chrome|Chromium|2015-12-03|7440-47-3||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chrysène|Benzo(a)phenanthrene|2016-02-23|218-01-9||DS.6.2|Réglementation|||
Chrysotile|Chrysotile|2015-02-25|61076-97-9|UN2590|DS.6.1A, DS.9.1|Réglementation|||
Chrysotile|Chrysotile|2015-02-25|12001-29-5|UN2590|DS.6.1A, DS.9.1|Réglementation|||
Ciment Portland|Portland cement|2015-08-18|65997-15-1||DS.2.2, DS.3.1, DS.8i.3|Réglementation|||
Citral|Citral|2016-02-11|5392-40-5||DS.2.2, DS.3.2A, DS.4c.1B|Réglementation|||
Citrate d'ammonium ferrique|Ferric ammonium citrate|2015-08-18|1185-57-5||Produit non contrôlé|Non requise|||
Citrate d'ammonium tribasique|Ammonium citrate tribasic|2014-11-14|3458-72-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Citrate de fer (III)|Iron (III) citrate|2015-09-08|3522-50-7||Produit non contrôlé|Non requise|||
Citrate de lithium anhydre|Lithium citrate anhydrous|2019-12-09|919-16-4||DS.7.1A, DS.9.1|Non requise||En raison du manque de données, les classifications concernant la toxicité pour la reproduction (H360) et la toxicité pour certains organes cibles - expositions répétées (H372) ont été établies par analogie au carbonate de lithium.|
Citrate de lithium tétrahydraté|Lithium citrate tetrahydrate|2015-09-09|||Produit non contrôlé|Non requise|||
Citrate de magnésium|Magnesium citrate|2014-11-14|3344-18-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Citrate de potassium anhydre|Potassium citrate anhydrous|2014-11-14|866-84-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Citrate de potassium monohydraté|Potassium citrate monohydrate|2014-11-14|6100-05-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Citrate de sodium|Sodium citrate|2016-06-28|6132-04-3||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Citrate de sodium anhydre|Sodium citrate anhydrous|2016-07-15|68-04-2||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Citrate de sodium pentahydraté|Sodium citrate pentahydrate|2016-07-27|6858-44-2||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Clopidol|Clopidol|2015-10-14|2971-90-6||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Cobalt|Cobalt|2016-01-15|7440-48-4||DP.17.99, DS.4c.1, DS.4r.1, DS.6.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Cobaltinitrite de sodium|Sodium cobaltinitrite|2014-11-14|13600-98-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Colophane|Rosin|2019-06-06|8050-09-7||DP.17.99, DS.4c.1, DS.4r.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustible" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.  Les produits de dégradation thermique du colophane causent la sensibilisation respiratoire.|
Copolymère d'acétate de vinyle et de chlorure de vinyle|Vinyl acetate-vinyl chloride copolymer|2016-06-28|9003-22-9||Produit non contrôlé|Non requise|||
Copolymère d'acide méthacrylique, d'acrylate d'éthyle et de méthacrylate de méthyle|Methacrylic acid, polymer with ethyl acrylate and methyl methacrylate|2014-11-14|25133-97-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Copolymère d'acrylamide et d'acrylate de sodium|Sodium acrylate-acrylamide copolymer|2014-11-14|25085-02-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Copolymère d'acrylate d'éthyle et d'acrylate d'éthyl-2 hexyle|Ethyl acrylate-2-ethylhexyl acrylate copolymer|2014-11-14|26376-86-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Copolymère de styrène et de butadiène|Butadiene-styrene copolymer|2016-07-15|9003-55-8||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
